dt,high
2010-01-04,15.64
2010-01-05,15.67
2010-01-06,15.62
2010-01-07,16.48
2010-01-08,16.69
2010-01-11,16.88
2010-01-12,16.835
2010-01-13,16.92
2010-01-14,16.87
2010-01-15,16.75
2010-01-19,16.75
2010-01-20,16.6817
2010-01-21,16.48
2010-01-22,16.76
2010-01-25,16.53
2010-01-26,16.7
2010-01-27,16.39
2010-01-28,16.45
2010-01-29,16.5
2010-02-01,16.34
2010-02-02,16.95
2010-02-03,17.03
2010-02-04,16.5
2010-02-05,16.19
2010-02-08,15.84
2010-02-09,15.89
2010-02-10,15.87
2010-02-11,15.78
2010-02-12,15.75
2010-02-16,16.12
2010-02-17,16.22
2010-02-18,16.29
2010-02-19,16.25
2010-02-22,16.34
2010-02-23,16.32
2010-02-24,16.14
2010-02-25,15.95
2010-02-26,16.15
2010-03-01,16.15
2010-03-02,15.95
2010-03-03,16.29
2010-03-04,16.16
2010-03-05,16.37
2010-03-08,16.47
2010-03-09,16.62
2010-03-10,16.61
2010-03-11,16.55
2010-03-12,17.06
2010-03-15,17.35
2010-03-16,18.16
2010-03-17,18.4
2010-03-18,18.26
2010-03-19,18.34
2010-03-22,18.13
2010-03-23,18.45
2010-03-24,18.94
2010-03-25,18.76
2010-03-26,18.63
2010-03-29,18.56
2010-03-30,18.48
2010-03-31,18.36
2010-04-01,18.4
2010-04-05,18.65
2010-04-06,18.65
2010-04-07,18.75
2010-04-08,18.65
2010-04-09,18.67
2010-04-12,18.98
2010-04-13,19.13
2010-04-14,19.4
2010-04-15,19.69
2010-04-16,19.45
2010-04-19,18.97
2010-04-20,19.2
2010-04-21,19.18
2010-04-22,19.01
2010-04-23,19.1
2010-04-26,19.37
2010-04-27,19.49
2010-04-28,19.09
2010-04-29,19.49
2010-04-30,19.7
2010-05-03,19.34
2010-05-04,19.08
2010-05-05,18.49
2010-05-06,18.15
2010-05-07,17.69
2010-05-10,18.37
2010-05-11,18.34
2010-05-12,18.5
2010-05-13,18.43
2010-05-14,18.04
2010-05-17,17.72
2010-05-18,17.87
2010-05-19,17.38
2010-05-20,16.825
2010-05-21,16.43
2010-05-24,16.39
2010-05-25,15.97
2010-05-26,16.49
2010-05-27,16.68
2010-05-28,16.69
2010-06-01,16.51
2010-06-02,16.39
2010-06-03,16.48
2010-06-04,16.08
2010-06-07,15.75
2010-06-08,15.55
2010-06-09,15.7
2010-06-10,15.87
2010-06-11,15.61
2010-06-14,15.88
2010-06-15,15.85
2010-06-16,16.09
2010-06-17,15.93
2010-06-18,16.05
2010-06-21,16.45
2010-06-22,16.17
2010-06-23,15.89
2010-06-24,15.45
2010-06-25,15.15
2010-06-28,15.205
2010-06-29,14.79
2010-06-30,14.69
2010-07-01,14.43
2010-07-02,14.26
2010-07-06,14.3143
2010-07-07,14.66
2010-07-08,15.17
2010-07-09,14.99
2010-07-12,14.99
2010-07-13,15.35
2010-07-14,15.3
2010-07-15,15.28
2010-07-16,15.06
2010-07-19,14.74
2010-07-20,15.01
2010-07-21,15.2
2010-07-22,15.29
2010-07-23,15.85
2010-07-26,16.16
2010-07-27,16.57
2010-07-28,16.18
2010-07-29,16.24
2010-07-30,16.24
2010-08-02,16.47
2010-08-03,16.52
2010-08-04,16.51
2010-08-05,16.54
2010-08-06,16.45
2010-08-09,16.46
2010-08-10,16.34
2010-08-11,16.03
2010-08-12,15.68
2010-08-13,15.52
2010-08-16,15.49
