dt,open
2010-11-09,35.55
2010-11-10,35.03
2010-11-11,34.94
2010-11-12,35.04
2010-11-15,34.71
2010-11-16,34.31
2010-11-17,34.8
2010-11-18,35.14
2010-11-19,35.3
2010-11-22,35.49
2010-11-23,35.34
2010-11-24,34.85
2010-11-26,34.55
2010-11-29,34.58
2010-11-30,34.45
2010-12-01,34.75
2010-12-02,35.16
2010-12-03,35.29
2010-12-06,35.3
2010-12-07,35.47
2010-12-08,35.28
2010-12-09,35.5
2010-12-10,35.77
2010-12-13,35.84
2010-12-14,36.2
2010-12-15,36.4
2010-12-16,36.56
2010-12-17,36.64
2010-12-20,36.66
2010-12-21,36.67
2010-12-22,36.23
2010-12-23,36.25
2010-12-27,36.14
2010-12-28,36.37
2010-12-29,36.25
2010-12-30,36.09
2010-12-31,35.96
2011-01-03,36.29
2011-01-04,36.25
2011-01-05,36.0399
2011-01-06,36.56
2011-01-07,37.17
2011-01-10,37.26
2011-01-11,37.24
2011-01-12,37.2
2011-01-13,35.6
2011-01-14,34.64
2011-01-18,34.07
2011-01-19,34.12
2011-01-20,33.79
2011-01-21,34.18
2011-01-24,33.99
2011-01-25,33.77
2011-01-26,33.43
2011-01-27,33.35
2011-01-28,33.5
2011-01-31,33.2
2011-02-01,33.34
2011-02-02,33.91
2011-02-03,32.995
2011-02-04,32.85
2011-02-07,32.94
2011-02-08,33.15
2011-02-09,33.28
2011-02-10,33.12
2011-02-11,32.97
2011-02-14,32.97
2011-02-15,32.8
2011-02-16,32.74
2011-02-17,32.97
2011-02-18,33.06
2011-02-22,32.75
2011-02-23,32.52
2011-02-24,32.08
2011-02-25,32.06
2011-02-28,32.22
2011-03-01,32.6
2011-03-02,32.45
2011-03-03,32.67
2011-03-04,33.15
2011-03-07,33.0
2011-03-08,32.98
2011-03-09,32.91
2011-03-10,33.21
2011-03-11,32.45
2011-03-14,32.5
2011-03-15,31.95
2011-03-16,31.8
2011-03-17,31.26
2011-03-18,31.78
2011-03-21,32.09
2011-03-22,32.52
2011-03-23,32.5
2011-03-24,32.83
2011-03-25,32.72
2011-03-28,32.54
2011-03-29,32.49
2011-03-30,33.09
2011-03-31,33.02
2011-04-01,33.01
2011-04-04,33.34
2011-04-05,33.14
2011-04-06,33.28
2011-04-07,33.43
2011-04-08,33.5
2011-04-11,33.68
2011-04-12,33.42
2011-04-13,33.62
2011-04-14,33.34
2011-04-15,34.9
2011-04-18,34.2
2011-04-19,33.94
2011-04-20,34.07
2011-04-21,34.27
2011-04-25,33.7
2011-04-26,34.44
2011-04-27,35.2
2011-04-28,35.64
2011-04-29,36.0
2011-05-02,36.45
2011-05-03,36.24
2011-05-04,36.36
2011-05-05,36.45
2011-05-06,36.53
2011-05-09,36.08
2011-05-10,36.55
2011-05-11,36.77
2011-05-12,36.7
2011-05-13,37.03
2011-05-16,37.06
2011-05-17,37.19
2011-05-18,37.25
2011-05-19,37.63
2011-05-20,37.38
2011-05-23,36.67
2011-05-24,36.78
2011-05-25,36.66
2011-05-26,36.69
2011-05-27,36.37
2011-05-31,36.39
2011-06-01,36.6
2011-06-02,36.18
2011-06-03,35.79
2011-06-06,35.7
2011-06-07,35.81
2011-06-08,35.53
2011-06-09,35.88
2011-06-10,35.88
2011-06-13,35.03
2011-06-14,35.51
2011-06-15,35.42
2011-06-16,35.14
2011-06-17,35.4
2011-06-20,35.28
2011-06-21,35.91
2011-06-22,35.57
2011-06-23,35.16
2011-06-24,35.02
2011-06-27,34.65
2011-06-28,34.59
2011-06-29,34.95
2011-06-30,35.22
2011-07-01,35.17
2011-07-05,35.51
2011-07-06,35.5
2011-07-07,35.76
2011-07-08,35.88
2011-07-11,36.01
2011-07-12,35.8
2011-07-13,35.7
2011-07-14,36.17
2011-07-15,36.33
2011-07-18,35.69
2011-07-19,35.57
2011-07-20,35.89
2011-07-21,35.84
2011-07-22,36.29
2011-07-25,35.69
2011-07-26,35.92
2011-07-27,35.59
2011-07-28,35.26
2011-07-29,34.62
2011-08-01,34.25
2011-08-02,33.1
2011-08-03,32.9
2011-08-04,32.23
2011-08-05,31.77
2011-08-08,31.12
2011-08-09,30.4
2011-08-10,30.5
2011-08-11,29.79
2011-08-12,31.45
2011-08-15,31.65
2011-08-16,32.01
2011-08-17,32.38
2011-08-18,31.75
2011-08-19,30.79
2011-08-22,31.69
2011-08-23,31.45
2011-08-24,31.93
2011-08-25,32.25
2011-08-26,31.6
2011-08-29,32.1
2011-08-30,32.3
2011-08-31,32.95
2011-09-01,33.04
2011-09-02,32.67
2011-09-06,31.63
2011-09-07,32.54
2011-09-08,32.76
2011-09-09,32.6
2011-09-12,31.55
2011-09-13,31.53
2011-09-14,31.94
2011-09-15,32.39
2011-09-16,32.68
2011-09-19,32.1
2011-09-20,32.22
2011-09-21,32.77
2011-09-22,31.18
2011-09-23,30.95
2011-09-26,31.27
2011-09-27,32.03
2011-09-28,32.34
2011-09-29,32.35
2011-09-30,32.4
2011-10-03,32.59
2011-10-04,31.31
2011-10-05,31.44
2011-10-06,31.37
2011-10-07,31.91
2011-10-10,32.49
2011-10-11,32.36
2011-10-12,32.25
2011-10-13,32.48
2011-10-14,32.97
2011-10-17,32.79
2011-10-18,32.42
2011-10-19,32.8
2011-10-20,32.76
2011-10-21,33.14
2011-10-24,33.26
2011-10-25,33.61
2011-10-26,33.37
2011-10-27,34.08
2011-10-28,35.03
2011-10-31,35.1
2011-11-01,33.81
2011-11-02,34.48
2011-11-03,34.5
2011-11-04,34.33
2011-11-07,33.9
2011-11-08,34.36
2011-11-09,34.02
2011-11-10,34.57
2011-11-11,35.38
2011-11-14,35.39
2011-11-15,35.54
2011-11-16,35.14
2011-11-17,34.92
2011-11-18,34.94
2011-11-21,34.39
2011-11-22,34.0901
2011-11-23,33.44
2011-11-25,33.29
2011-11-28,33.74
2011-11-29,34.43
2011-11-30,35.2
2011-12-01,35.73
2011-12-02,35.91
2011-12-05,35.78
2011-12-06,35.43
2011-12-07,35.28
2011-12-08,35.67
2011-12-09,35.31
2011-12-12,35.58
2011-12-13,35.22
2011-12-14,34.93
2011-12-15,35.92
2011-12-16,36.5
2011-12-19,36.43
2011-12-20,36.72
2011-12-21,37.06
2011-12-22,37.38
2011-12-23,37.65
2011-12-27,37.78
2011-12-28,37.69
2011-12-29,37.6
2011-12-30,37.59
2012-01-03,37.87
2012-01-04,38.25
2012-01-05,38.14
2012-01-06,38.75
2012-01-09,38.34
2012-01-10,38.75
2012-01-11,38.42
2012-01-12,38.62
2012-01-13,38.45
2012-01-17,38.48
2012-01-18,38.65
2012-01-19,38.9
2012-01-20,39.32
2012-01-23,38.96
2012-01-24,38.95
2012-01-25,38.61
2012-01-26,38.84
2012-01-27,38.73
2012-01-30,38.38
2012-01-31,38.97
2012-02-01,38.55
2012-02-02,38.93
2012-02-03,38.5
2012-02-06,38.21
2012-02-07,38.27
2012-02-08,38.55
2012-02-09,38.39
2012-02-10,37.94
2012-02-13,38.1
2012-02-14,38.11
2012-02-15,38.25
2012-02-16,38.07
2012-02-17,38.62
2012-02-21,38.47
2012-02-22,38.01
2012-02-23,38.1
2012-02-24,38.49
2012-02-27,37.94
2012-02-28,38.1
2012-02-29,38.47
2012-03-01,38.15
2012-03-02,37.62
2012-03-05,38.01
2012-03-06,37.95
2012-03-07,37.33
2012-03-08,37.62
2012-03-09,37.51
2012-03-12,37.72
2012-03-13,37.87
2012-03-14,38.3
2012-03-15,38.15
2012-03-16,38.17
2012-03-19,38.02
2012-03-20,37.65
2012-03-21,37.88
2012-03-22,37.56
2012-03-23,37.7
2012-03-26,38.24
2012-03-27,38.75
2012-03-28,38.62
2012-03-29,38.17
2012-03-30,38.14
2012-04-02,38.3
2012-04-03,38.55
2012-04-04,38.6
2012-04-05,38.76
2012-04-09,38.58
2012-04-10,38.71
2012-04-11,38.61
2012-04-12,38.71
2012-04-13,38.08
2012-04-16,37.87
2012-04-17,38.11
2012-04-18,38.44
2012-04-19,38.55
2012-04-20,38.31
2012-04-23,38.55
2012-04-24,38.34
2012-04-25,38.3
2012-04-26,38.48
2012-04-27,38.8
2012-04-30,38.64
2012-05-01,38.81
2012-05-02,39.32
2012-05-03,39.31
2012-05-04,39.11
2012-05-07,38.51
2012-05-08,38.52
2012-05-09,38.34
2012-05-10,38.3
2012-05-11,38.2
2012-05-14,37.85
2012-05-15,38.08
2012-05-16,37.96
2012-05-17,38.21
2012-05-18,38.2
2012-05-21,37.73
2012-05-22,37.66
2012-05-23,37.38
2012-05-24,37.38
2012-05-25,37.74
2012-05-29,37.69
2012-05-30,37.4
2012-05-31,37.61
2012-06-01,37.18
2012-06-04,37.18
2012-06-05,37.4
2012-06-06,37.75
2012-06-07,38.07
2012-06-08,38.48
2012-06-11,38.62
2012-06-12,38.55
2012-06-13,38.4
2012-06-14,38.52
2012-06-15,39.02
2012-06-18,38.72
2012-06-19,38.99
2012-06-20,39.18
2012-06-21,39.36
2012-06-22,39.6
2012-06-25,39.91
2012-06-26,39.82
2012-06-27,40.08
2012-06-28,40.41
2012-06-29,40.89
2012-07-02,41.3
2012-07-03,41.73
2012-07-05,41.67
2012-07-06,41.3
2012-07-09,41.71
2012-07-10,42.17
2012-07-11,41.38
2012-07-12,42.94
2012-07-13,43.06
2012-07-16,43.22
2012-07-17,43.29
2012-07-18,43.9
2012-07-19,43.95
2012-07-20,43.62
2012-07-23,43.22
2012-07-24,43.22
2012-07-25,42.91
2012-07-26,43.05
2012-07-27,43.72
2012-07-30,44.61
2012-07-31,44.45
2012-08-01,44.41
2012-08-02,44.04
2012-08-03,44.44
2012-08-06,44.2
2012-08-07,44.54
2012-08-08,43.98
2012-08-09,43.89
2012-08-10,43.98
2012-08-13,44.58
2012-08-14,44.5
2012-08-15,44.26
2012-08-16,44.02
2012-08-17,44.02
2012-08-20,43.42
2012-08-21,43.5
2012-08-22,42.95
2012-08-23,42.91
2012-08-24,42.64
2012-08-27,42.98
2012-08-28,42.97
2012-08-29,42.95
2012-08-30,42.86
2012-08-31,43.33
2012-09-04,43.14
2012-09-05,43.39
2012-09-06,43.59
2012-09-07,44.43
2012-09-10,43.97
2012-09-11,44.35
2012-09-12,44.35
2012-09-13,44.08
2012-09-14,44.58
2012-09-17,43.48
2012-09-18,43.76
2012-09-19,44.12
2012-09-20,44.36
2012-09-21,44.95
2012-09-24,44.95
2012-09-25,45.22
2012-09-26,45.11
2012-09-27,45.04
2012-09-28,45.05
2012-10-01,44.98
2012-10-02,45.43
2012-10-03,45.5
2012-10-04,45.9
2012-10-05,46.42
2012-10-08,46.17
2012-10-09,46.27
2012-10-10,46.17
2012-10-11,45.89
2012-10-12,45.6
2012-10-15,45.74
2012-10-16,46.74
2012-10-17,47.08
2012-10-18,47.29
2012-10-19,47.94
2012-10-22,46.81
2012-10-23,46.19
2012-10-24,45.95
2012-10-25,46.1
2012-10-26,45.79
2012-10-31,46.42
2012-11-01,45.75
2012-11-02,46.23
2012-11-05,45.74
2012-11-06,45.69
2012-11-07,45.55
2012-11-08,44.51
2012-11-09,43.69
2012-11-12,44.47
2012-11-13,43.76
2012-11-14,43.72
2012-11-15,42.96
2012-11-16,42.77
2012-11-19,43.32
2012-11-20,43.42
2012-11-21,43.71
2012-11-23,43.99
2012-11-26,44.0
2012-11-27,44.03
2012-11-28,43.75
2012-11-29,44.95
2012-11-30,44.54
2012-12-03,44.47
2012-12-04,44.38
2012-12-05,44.33
2012-12-06,44.69
2012-12-07,44.51
2012-12-10,44.52
2012-12-11,44.66
2012-12-12,44.97
2012-12-13,44.94
2012-12-14,43.97
2012-12-17,43.63
2012-12-18,43.58
2012-12-19,44.15
2012-12-20,42.45
2012-12-21,42.42
2012-12-24,41.43
2012-12-26,41.45
2012-12-27,41.21
2012-12-28,41.0
2012-12-31,40.28
2013-01-02,41.86
2013-01-03,42.01
2013-01-04,42.46
2013-01-07,42.04
2013-01-08,42.24
2013-01-09,42.39
2013-01-10,42.89
2013-01-11,42.89
2013-01-14,43.31
2013-01-15,43.38
2013-01-16,42.89
2013-01-17,42.79
2013-01-18,42.88
2013-01-22,42.77
2013-01-23,43.0
2013-01-24,42.95
2013-01-25,43.12
2013-01-28,43.34
2013-01-29,43.19
2013-01-30,43.66
2013-01-31,43.42
2013-02-01,42.21
2013-02-04,41.38
2013-02-05,40.99
2013-02-06,41.35
2013-02-07,41.15
2013-02-08,41.06
2013-02-11,41.19
2013-02-12,41.37
2013-02-13,41.42
2013-02-14,41.04
2013-02-15,41.46
2013-02-19,41.6
2013-02-20,42.36
2013-02-21,42.5
2013-02-22,42.58
2013-02-25,43.37
2013-02-26,42.75
2013-02-27,42.17
2013-02-28,43.01
2013-03-01,42.36
2013-03-04,42.92
2013-03-05,43.6
2013-03-06,43.33
2013-03-07,43.82
2013-03-08,43.38
2013-03-11,42.95
2013-03-12,45.48
2013-03-13,44.54
2013-03-14,44.72
2013-03-15,43.73
2013-03-18,43.78
2013-03-19,43.7
2013-03-20,44.0
2013-03-21,44.03
2013-03-22,43.86
2013-03-25,43.95
2013-03-26,43.95
2013-03-27,44.1
2013-03-28,44.05
2013-04-01,43.98
2013-04-02,44.51
2013-04-03,45.06
2013-04-04,45.39
2013-04-05,45.04
2013-04-08,45.09
2013-04-09,45.73
2013-04-10,45.93
2013-04-11,46.68
2013-04-12,46.6
2013-04-15,46.89
2013-04-16,46.65
2013-04-17,46.72
2013-04-18,46.86
2013-04-19,46.86
2013-04-22,47.44
2013-04-23,47.95
2013-04-24,48.67
2013-04-25,47.95
2013-04-26,47.27
2013-04-29,47.88
2013-04-30,47.7499
2013-05-01,44.79
2013-05-02,45.9
2013-05-03,46.32
2013-05-06,45.51
2013-05-07,45.14
2013-05-08,45.12
2013-05-09,45.25
2013-05-10,45.48
2013-05-13,45.84
2013-05-14,46.12
2013-05-15,46.75
2013-05-16,46.58
2013-05-17,46.29
2013-05-20,45.95
2013-05-21,45.24
2013-05-22,47.6
2013-05-23,46.46
2013-05-24,47.04
2013-05-28,47.95
2013-05-29,47.29
2013-05-30,47.02
2013-05-31,46.92
2013-06-03,48.93
2013-06-04,48.2
2013-06-05,49.01
2013-06-06,48.64
2013-06-07,48.77
2013-06-10,48.65
2013-06-11,48.07
2013-06-12,47.89
2013-06-13,46.74
2013-06-14,47.78
2013-06-17,48.33
2013-06-18,47.88
2013-06-19,47.74
2013-06-20,47.43
2013-06-21,46.87
2013-06-24,46.44
2013-06-25,46.53
2013-06-26,46.6
2013-06-27,47.03
2013-06-28,47.46
2013-07-01,46.26
2013-07-02,46.09
2013-07-03,46.51
2013-07-05,46.89
2013-07-08,47.41
2013-07-09,47.72
2013-07-10,47.62
2013-07-11,48.44
2013-07-12,48.4
2013-07-15,48.51
2013-07-16,48.56
2013-07-17,48.28
2013-07-18,48.04
2013-07-19,47.5
2013-07-22,47.86
2013-07-23,47.81
2013-07-24,47.92
2013-07-25,47.53
2013-07-26,48.05
2013-07-29,48.2699
2013-07-30,48.2
2013-07-31,48.53
2013-08-01,48.43
2013-08-02,48.44
2013-08-05,48.39
2013-08-06,48.49
2013-08-07,48.35
2013-08-08,48.72
2013-08-09,48.51
2013-08-12,48.19
2013-08-13,48.52
2013-08-14,48.55
2013-08-15,48.28
2013-08-16,47.79
2013-08-19,47.45
2013-08-20,47.65
2013-08-21,47.56
2013-08-22,47.63
2013-08-23,47.99
2013-08-26,47.8
2013-08-27,47.25
2013-08-28,46.75
2013-08-29,46.97
2013-08-30,47.09
2013-09-03,47.52
2013-09-04,47.09
2013-09-05,47.79
2013-09-06,47.57
2013-09-09,47.6
2013-09-10,47.86
2013-09-11,48.03
2013-09-12,47.8
2013-09-13,47.88
2013-09-16,48.18
2013-09-17,48.11
2013-09-18,47.81
2013-09-19,48.47
2013-09-20,48.33
2013-09-23,47.79
2013-09-24,47.59
2013-09-25,47.67
2013-09-26,47.86
2013-09-27,47.57
2013-09-30,47.64
2013-10-01,48.96
2013-10-02,48.42
2013-10-03,48.22
2013-10-04,48.27
2013-10-07,47.92
2013-10-08,47.84
2013-10-09,47.69
2013-10-10,47.58
2013-10-11,47.42
2013-10-14,46.8
2013-10-15,46.49
2013-10-16,46.61
2013-10-17,47.13
2013-10-18,47.37
2013-10-21,46.7
2013-10-22,46.31
2013-10-23,46.6
2013-10-24,46.66
2013-10-25,46.17
2013-10-28,45.57
2013-10-29,45.41
2013-10-30,45.75
2013-10-31,45.31
2013-11-01,44.83
2013-11-04,45.95
2013-11-05,45.59
2013-11-06,45.56
2013-11-07,46.17
2013-11-08,45.93
2013-11-11,46.91
2013-11-12,46.95
2013-11-13,46.74
2013-11-14,47.52
2013-11-15,47.63
2013-11-18,48.04
2013-11-19,48.05
2013-11-20,47.98
2013-11-21,48.22
2013-11-22,48.45
2013-11-25,48.92
2013-11-26,49.66
2013-11-27,49.59
2013-11-29,49.71
2013-12-02,49.7
2013-12-03,49.82
2013-12-04,49.61
2013-12-05,48.91
2013-12-06,49.12
2013-12-09,49.38
2013-12-10,49.28
2013-12-11,49.48
2013-12-12,48.58
2013-12-13,48.8
2013-12-16,48.3
2013-12-17,47.93
2013-12-18,47.9
2013-12-19,48.73
2013-12-20,48.88
2013-12-23,49.44
2013-12-24,49.43
2013-12-26,49.44
2013-12-27,49.77
2013-12-30,49.74
2013-12-31,49.74
2014-01-02,49.88
2014-01-03,49.49
2014-01-06,49.81
2014-01-07,49.96
2014-01-08,50.1
2014-01-09,49.82
2014-01-10,49.83
2014-01-13,50.9
2014-01-14,52.53
2014-01-15,52.61
2014-01-16,52.1
2014-01-17,52.62
2014-01-21,52.035
2014-01-22,51.77
2014-01-23,51.21
2014-01-24,51.27
2014-01-27,52.85
2014-01-28,52.37
2014-01-29,52.7
2014-01-30,52.46
2014-01-31,53.31
2014-02-03,52.91
2014-02-04,52.73
2014-02-05,54.3
2014-02-06,53.26
2014-02-07,53.34
2014-02-10,54.3
2014-02-11,54.71
2014-02-12,55.44
2014-02-13,54.39
2014-02-14,54.95
2014-02-18,55.27
2014-02-19,55.44
2014-02-20,55.11
2014-02-21,55.85
2014-02-24,55.87
2014-02-25,56.13
2014-02-26,56.0
2014-02-27,56.21
2014-02-28,56.73
2014-03-03,56.1
2014-03-04,57.04
2014-03-05,57.4
2014-03-06,57.06
2014-03-07,57.35
2014-03-10,57.44
2014-03-11,57.39
2014-03-12,56.39
2014-03-13,56.65
2014-03-14,55.53
2014-03-17,55.94
2014-03-18,56.38
2014-03-19,56.66
2014-03-20,55.83
2014-03-21,56.5
2014-03-24,54.86
2014-03-25,53.88
2014-03-26,55.43
2014-03-27,55.89
2014-03-28,56.21
2014-03-31,56.09
2014-04-01,56.65
2014-04-02,56.48
2014-04-03,56.53
2014-04-04,56.62
2014-04-07,55.37
2014-04-08,55.28
2014-04-09,55.22
2014-04-10,57.89
2014-04-11,55.55
2014-04-14,56.22
2014-04-15,55.79
2014-04-16,56.45
2014-04-17,56.45
2014-04-21,56.56
2014-04-22,57.09
2014-04-23,57.75
2014-04-24,57.32
2014-04-25,57.53
2014-04-28,57.61
2014-04-29,57.5
2014-04-30,58.51
2014-05-01,58.55
2014-05-02,59.47
2014-05-05,58.11
2014-05-06,58.75
2014-05-07,56.19
2014-05-08,55.55
2014-05-09,55.1
2014-05-12,55.62
2014-05-13,55.31
2014-05-14,55.63
2014-05-15,55.81
2014-05-16,55.66
2014-05-19,55.74
2014-05-20,56.22
2014-05-21,56.2
2014-05-22,56.39
2014-05-23,56.63
2014-05-27,56.93
2014-05-28,56.71
2014-05-29,56.91
2014-05-30,57.52
2014-06-02,57.91
2014-06-03,57.52
2014-06-04,57.78
2014-06-05,57.97
2014-06-06,58.2
2014-06-09,57.49
2014-06-10,57.92
2014-06-11,58.52
2014-06-12,58.28
2014-06-13,58.11
2014-06-16,58.06
2014-06-17,57.95
2014-06-18,58.03
2014-06-19,58.42
2014-06-20,58.61
2014-06-23,58.81
2014-06-24,58.38
2014-06-25,57.73
2014-06-26,58.76
2014-06-27,58.37
2014-06-30,57.61
2014-07-01,57.7
2014-07-02,58.47
2014-07-03,59.39
2014-07-07,58.91
2014-07-08,58.66
2014-07-09,58.45
2014-07-10,58.35
2014-07-11,58.65
2014-07-14,58.62
2014-07-15,58.13
2014-07-16,57.94
2014-07-17,57.87
2014-07-18,57.92
2014-07-21,57.89
2014-07-22,58.13
2014-07-23,58.3
2014-07-24,58.32
2014-07-25,58.13
2014-07-28,58.17
2014-07-29,58.82
2014-07-30,58.58
2014-07-31,57.76
2014-08-01,56.58
2014-08-04,56.95
2014-08-05,56.69
2014-08-06,55.88
2014-08-07,56.21
2014-08-08,55.87
2014-08-11,56.7
2014-08-12,56.55
2014-08-13,57.39
2014-08-14,58.05
2014-08-15,58.8
2014-08-18,58.8
2014-08-19,58.85
2014-08-20,58.68
2014-08-21,59.4
2014-08-22,59.04
2014-08-25,59.34
2014-08-26,59.67
2014-08-27,60.42
2014-08-28,59.89
2014-08-29,60.42
2014-09-02,59.73
2014-09-03,60.12
2014-09-04,60.57
2014-09-05,60.42
2014-09-08,61.22
2014-09-09,60.84
2014-09-10,60.67
2014-09-11,60.21
2014-09-12,59.88
2014-09-15,59.65
2014-09-16,59.51
2014-09-17,59.53
2014-09-18,60.13
2014-09-19,60.75
2014-09-22,60.37
2014-09-23,60.15
2014-09-24,60.31
2014-09-25,60.28
2014-09-26,59.72
2014-09-29,59.03
2014-09-30,59.4
2014-10-01,59.09
2014-10-02,58.78
2014-10-03,59.17
2014-10-06,60.17
2014-10-07,59.32
2014-10-08,58.66
2014-10-09,60.0
2014-10-10,59.44
2014-10-13,58.45
2014-10-14,56.57
2014-10-15,55.37
2014-10-16,54.01
2014-10-17,53.85
2014-10-20,54.22
2014-10-21,54.57
2014-10-22,55.28
2014-10-23,56.24
2014-10-24,56.8
2014-10-27,56.91
2014-10-28,56.59
2014-10-29,56.02
2014-10-30,55.71
2014-10-31,57.95
2014-11-03,57.95
2014-11-04,58.87
2014-11-05,59.99
2014-11-06,59.6
2014-11-07,59.39
2014-11-10,58.24
2014-11-11,59.72
2014-11-12,59.28
2014-11-13,59.5
2014-11-14,59.23
2014-11-17,59.71
2014-11-18,59.49
2014-11-19,59.63
2014-11-20,59.21
2014-11-21,59.94
2014-11-24,59.81
2014-11-25,59.38
2014-11-26,59.7
2014-11-28,59.7
2014-12-01,60.4
2014-12-02,60.63
2014-12-03,60.76
2014-12-04,60.51
2014-12-05,61.03
2014-12-08,61.17
2014-12-09,59.4
2014-12-10,60.12
2014-12-11,59.78
2014-12-12,59.13
2014-12-15,57.82
2014-12-16,56.97
2014-12-17,57.05
2014-12-18,58.59
2014-12-19,59.25
2014-12-22,59.12
2014-12-23,58.69
2014-12-24,57.29
2014-12-26,57.68
2014-12-29,57.45
2014-12-30,57.53
2014-12-31,57.26
2015-01-02,57.22
2015-01-05,58.21
2015-01-06,58.28
2015-01-07,60.44
2015-01-08,62.0
2015-01-09,62.81
2015-01-12,63.1
2015-01-13,62.91
2015-01-14,61.72
2015-01-15,62.79
2015-01-16,61.86
2015-01-20,62.65
2015-01-21,62.42
