dt,open
2010-01-04,61.11
2010-01-05,61.13
2010-01-06,60.94
2010-01-07,60.58
2010-01-08,60.36
2010-01-11,60.08
2010-01-12,60.7
2010-01-13,61.04
2010-01-14,61.42
2010-01-15,61.6
2010-01-19,60.8
2010-01-20,60.97
2010-01-21,60.56
2010-01-22,59.75
2010-01-25,60.83
2010-01-26,60.17
2010-01-27,60.46
2010-01-28,61.71
2010-01-29,61.91
2010-02-01,61.85
2010-02-02,61.93
2010-02-03,62.74
2010-02-04,62.2
2010-02-05,61.08
2010-02-08,61.06
2010-02-09,61.38
2010-02-10,61.74
2010-02-11,61.42
2010-02-12,61.76
2010-02-16,62.63
2010-02-17,62.79
2010-02-18,62.73
2010-02-19,63.28
2010-02-22,63.69
2010-02-23,63.23
2010-02-24,63.22
2010-02-25,63.23
2010-02-26,63.75
2010-03-01,63.46
2010-03-02,63.72
2010-03-03,63.66
2010-03-04,63.65
2010-03-05,63.69
2010-03-08,63.55
2010-03-09,63.08
2010-03-10,63.23
2010-03-11,62.76
2010-03-12,63.33
2010-03-15,63.19
2010-03-16,63.72
2010-03-17,63.78
2010-03-18,63.9
2010-03-19,63.83
2010-03-22,63.52
2010-03-23,63.93
2010-03-24,64.33
2010-03-25,63.94
2010-03-26,63.68
2010-03-29,63.73
2010-03-30,63.75
2010-03-31,63.53
2010-04-01,63.47
2010-04-05,63.39
2010-04-06,63.49
2010-04-07,62.91
2010-04-08,62.45
2010-04-09,62.57
2010-04-12,62.45
2010-04-13,62.6
2010-04-14,62.92
2010-04-15,63.04
2010-04-16,62.8
2010-04-19,62.82
2010-04-20,63.47
2010-04-21,63.16
2010-04-22,63.48
2010-04-23,63.48
2010-04-26,63.45
2010-04-27,63.23
2010-04-28,62.65
2010-04-29,62.35
2010-04-30,62.53
2010-05-03,62.42
2010-05-04,62.3
2010-05-05,61.62
2010-05-06,61.91
2010-05-07,60.6138
2010-05-10,61.57
2010-05-11,62.04
2010-05-12,62.12
2010-05-13,62.91
2010-05-14,62.76
2010-05-17,63.01
2010-05-18,63.46
2010-05-19,63.1
2010-05-20,62.46
2010-05-21,60.4
2010-05-24,61.43
2010-05-25,60.18
2010-05-26,60.87
2010-05-27,60.88
2010-05-28,60.95
2010-06-01,60.89
2010-06-02,61.16
2010-06-03,61.97
2010-06-04,61.12
2010-06-07,60.72
2010-06-08,60.68
2010-06-09,62.45
2010-06-10,61.85
2010-06-11,61.48
2010-06-14,61.39
2010-06-15,61.61
2010-06-16,61.52
2010-06-17,61.18
2010-06-18,61.8
2010-06-21,61.72
2010-06-22,61.06
2010-06-23,60.89
2010-06-24,61.07
2010-06-25,60.89
2010-06-28,60.0
2010-06-29,60.33
2010-06-30,60.13
2010-07-01,59.84
2010-07-02,59.63
2010-07-06,59.77
2010-07-07,59.5
2010-07-08,60.84
2010-07-09,61.94
2010-07-12,61.54
2010-07-13,62.3
2010-07-14,62.21
2010-07-15,62.62
2010-07-16,62.45
2010-07-19,61.99
2010-07-20,61.63
2010-07-21,61.72
2010-07-22,61.06
2010-07-23,61.4
2010-07-26,61.66
2010-07-27,62.72
2010-07-28,62.88
2010-07-29,62.29
2010-07-30,61.16
2010-08-02,61.95
2010-08-03,59.86
2010-08-04,60.0
2010-08-05,59.55
2010-08-06,59.53
2010-08-09,60.39
2010-08-10,60.1
2010-08-11,60.18
2010-08-12,59.99
2010-08-13,59.74
2010-08-16,59.63
2010-08-17,60.31
2010-08-18,60.16
2010-08-19,60.55
2010-08-20,59.94
2010-08-23,60.01
2010-08-24,59.7
2010-08-25,59.79
2010-08-26,59.91
2010-08-27,59.66
2010-08-30,59.71
2010-08-31,59.16
2010-09-01,59.9
2010-09-02,59.74
2010-09-03,60.44
2010-09-07,60.08
2010-09-08,60.15
2010-09-09,60.58
2010-09-10,60.51
2010-09-13,60.65
2010-09-14,60.26
2010-09-15,60.56
2010-09-16,60.87
2010-09-17,61.32
2010-09-20,61.01
2010-09-21,61.45
2010-09-22,61.4
2010-09-23,61.42
2010-09-24,61.5
2010-09-27,61.36
2010-09-28,61.01
2010-09-29,60.46
2010-09-30,60.32
2010-10-01,60.09
2010-10-04,60.01
2010-10-05,60.26
2010-10-06,60.75
2010-10-07,60.99
2010-10-08,61.0
2010-10-11,61.92
2010-10-12,62.01
2010-10-13,62.23
2010-10-14,62.67
2010-10-15,62.97
2010-10-18,62.88
2010-10-19,62.98
2010-10-20,62.88
2010-10-21,63.59
2010-10-22,63.54
2010-10-25,63.73
2010-10-26,63.12
2010-10-27,63.33
2010-10-28,63.13
2010-10-29,63.23
2010-11-01,63.75
2010-11-02,63.87
2010-11-03,64.0
2010-11-04,64.47
2010-11-05,64.91
2010-11-08,64.87
2010-11-09,64.78
2010-11-10,64.67
2010-11-11,64.32
2010-11-12,64.26
2010-11-15,64.55
2010-11-16,64.15
2010-11-17,63.39
2010-11-18,63.59
2010-11-19,64.23
2010-11-22,63.58
2010-11-23,63.01
2010-11-24,62.95
2010-11-26,62.28
2010-11-29,62.04
2010-11-30,61.51
2010-12-01,61.57
2010-12-02,62.15
2010-12-03,62.35
2010-12-06,62.25
2010-12-07,62.19
2010-12-08,62.28
2010-12-09,62.66
2010-12-10,63.26
2010-12-13,63.31
2010-12-14,63.33
2010-12-15,63.61
2010-12-16,63.86
2010-12-17,64.54
2010-12-20,64.86
2010-12-21,65.22
2010-12-22,64.2
2010-12-23,64.76
2010-12-27,65.04
2010-12-28,64.8
2010-12-29,64.72
2010-12-30,64.48
2010-12-31,64.08
2011-01-03,64.39
2011-01-04,64.41
2011-01-05,64.67
2011-01-06,64.69
2011-01-07,64.63
2011-01-10,64.4
2011-01-11,64.5
2011-01-12,64.46
2011-01-13,64.92
2011-01-14,65.35
2011-01-18,65.65
2011-01-19,65.11
2011-01-20,65.44
2011-01-21,65.87
2011-01-24,65.9
2011-01-25,66.57
2011-01-26,66.89
2011-01-27,64.39
2011-01-28,63.9
2011-01-31,64.34
2011-02-01,63.39
2011-02-02,62.76
2011-02-03,62.66
2011-02-04,62.83
2011-02-07,63.95
2011-02-08,64.39
2011-02-09,64.64
2011-02-10,64.64
2011-02-11,64.08
2011-02-14,64.81
2011-02-15,64.7
2011-02-16,64.1
2011-02-17,63.56
2011-02-18,64.14
2011-02-22,63.62
2011-02-23,64.01
2011-02-24,64.32
2011-02-25,62.96
2011-02-28,62.8
2011-03-01,63.43
2011-03-02,62.6
2011-03-03,62.7
2011-03-04,62.51
2011-03-07,62.01
2011-03-08,61.75
2011-03-09,62.09
2011-03-10,61.73
2011-03-11,61.25
2011-03-14,61.04
2011-03-15,60.62
2011-03-16,60.48
2011-03-17,60.7
2011-03-18,60.92
2011-03-21,60.96
2011-03-22,61.05
2011-03-23,60.84
2011-03-24,61.23
2011-03-25,61.17
2011-03-28,61.08
2011-03-29,60.61
2011-03-30,61.46
2011-03-31,61.71
2011-04-01,61.89
2011-04-04,62.17
2011-04-05,62.02
2011-04-06,61.88
2011-04-07,61.62
2011-04-08,62.27
2011-04-11,61.96
2011-04-12,62.03
2011-04-13,62.84
2011-04-14,62.76
2011-04-15,63.46
2011-04-18,63.67
2011-04-19,64.22
2011-04-20,64.26
2011-04-21,63.61
2011-04-25,63.08
