dt,low
2010-01-04,15.15
2010-01-05,15.45
2010-01-06,15.44
2010-01-07,15.43
2010-01-08,16.27
2010-01-11,16.54
2010-01-12,16.57
2010-01-13,16.57
2010-01-14,16.68
2010-01-15,16.35
2010-01-19,16.34
2010-01-20,16.33
2010-01-21,15.95
2010-01-22,16.09
2010-01-25,16.22
2010-01-26,16.26
2010-01-27,16.03
2010-01-28,16.01
2010-01-29,16.07
2010-02-01,16.1
2010-02-02,16.24
2010-02-03,16.62
2010-02-04,16.01
2010-02-05,15.25
2010-02-08,15.47
2010-02-09,15.43
2010-02-10,15.5
2010-02-11,15.48
2010-02-12,15.35
2010-02-16,15.68
2010-02-17,16.06
2010-02-18,16.08
2010-02-19,16.0
2010-02-22,16.16
2010-02-23,15.86
2010-02-24,15.88
2010-02-25,15.71
2010-02-26,15.95
2010-03-01,15.83
2010-03-02,15.83
2010-03-03,15.95
2010-03-04,15.97
2010-03-05,16.15
2010-03-08,16.24
2010-03-09,16.25
2010-03-10,16.42
2010-03-11,16.32
2010-03-12,16.5
2010-03-15,16.94
2010-03-16,17.45
2010-03-17,17.97
2010-03-18,17.91
2010-03-19,17.93
2010-03-22,17.8
2010-03-23,18.15
2010-03-24,18.2693
2010-03-25,18.26
2010-03-26,18.18
2010-03-29,18.245
2010-03-30,18.25
2010-03-31,18.13
2010-04-01,18.18
2010-04-05,18.33
2010-04-06,18.41
2010-04-07,18.39
2010-04-08,18.25
2010-04-09,18.4
2010-04-12,18.54
2010-04-13,18.72
2010-04-14,19.0062
2010-04-15,19.37
2010-04-16,18.65
2010-04-19,18.64
2010-04-20,18.98
2010-04-21,18.89
2010-04-22,18.61
2010-04-23,18.8
2010-04-26,19.1
2010-04-27,18.59
2010-04-28,18.65
2010-04-29,19.03
2010-04-30,18.79
2010-05-03,18.96
2010-05-04,18.35
2010-05-05,17.93
2010-05-06,15.0
2010-05-07,16.52
2010-05-10,17.88
2010-05-11,17.82
2010-05-12,18.07
2010-05-13,17.96
2010-05-14,17.41
2010-05-17,17.09
2010-05-18,17.05
2010-05-19,16.75
2010-05-20,16.25
2010-05-21,15.65
2010-05-24,15.97
2010-05-25,15.25
2010-05-26,15.97
2010-05-27,16.14
2010-05-28,16.16
2010-06-01,15.93
2010-06-02,15.95
2010-06-03,16.23
2010-06-04,15.56
2010-06-07,15.37
2010-06-08,15.05
2010-06-09,15.22
2010-06-10,15.52
2010-06-11,15.37
2010-06-14,15.35
2010-06-15,15.36
2010-06-16,15.62
2010-06-17,15.65
2010-06-18,15.86
2010-06-21,16.03
2010-06-22,15.77
2010-06-23,15.37
2010-06-24,15.0027
2010-06-25,14.82
2010-06-28,14.91
2010-06-29,14.27
2010-06-30,14.35
2010-07-01,13.87
2010-07-02,13.75
2010-07-06,13.81
2010-07-07,13.96
2010-07-08,14.57
2010-07-09,14.75
2010-07-12,14.78
2010-07-13,15.16
2010-07-14,15.06
2010-07-15,14.8796
2010-07-16,14.5
2010-07-19,14.47
2010-07-20,14.36
2010-07-21,14.64
2010-07-22,14.97
2010-07-23,15.03
2010-07-26,15.7
2010-07-27,16.1
2010-07-28,15.95
2010-07-29,15.94
2010-07-30,15.91
2010-08-02,16.31
2010-08-03,16.36
2010-08-04,16.37
2010-08-05,16.27
2010-08-06,16.09
2010-08-09,16.3
2010-08-10,15.9571
2010-08-11,15.54
2010-08-12,15.34
2010-08-13,15.34
2010-08-16,15.15
2010-08-17,15.5
2010-08-18,15.51
2010-08-19,15.05
2010-08-20,14.89
2010-08-23,14.85
2010-08-24,14.41
2010-08-25,14.25
2010-08-26,14.44
2010-08-27,14.37
2010-08-30,14.51
2010-08-31,14.31
2010-09-01,14.6
2010-09-02,14.94
2010-09-03,15.2
2010-09-07,15.21
2010-09-08,15.32
2010-09-09,15.82
2010-09-10,15.81
2010-09-13,16.05
2010-09-14,16.11
2010-09-15,15.97
2010-09-16,16.11
2010-09-17,16.08
2010-09-20,16.23
2010-09-21,16.42
2010-09-22,16.4
2010-09-23,16.05
2010-09-24,16.3
2010-09-27,16.4
2010-09-28,16.14
2010-09-29,16.24
2010-09-30,16.15
2010-10-01,16.26
2010-10-04,16.0
2010-10-05,16.19
2010-10-06,16.46
2010-10-07,16.85
2010-10-08,17.03
2010-10-11,16.92
2010-10-12,16.94
2010-10-13,17.18
2010-10-14,16.97
2010-10-15,16.15
2010-10-18,16.1
2010-10-19,15.98
2010-10-20,15.88
2010-10-21,16.02
2010-10-22,16.01
2010-10-25,16.06
2010-10-26,16.03
2010-10-27,15.99
2010-10-28,16.03
2010-10-29,15.98
2010-11-01,15.88
2010-11-02,15.88
2010-11-03,15.88
2010-11-04,16.18
2010-11-05,16.51
2010-11-08,16.62
2010-11-09,16.54
2010-11-10,16.37
2010-11-11,16.22
2010-11-12,16.11
2010-11-15,16.18
2010-11-16,15.76
2010-11-17,15.76
2010-11-18,16.0
2010-11-19,15.95
2010-11-22,15.78
2010-11-23,15.63
2010-11-24,15.78
2010-11-26,15.75
2010-11-29,15.68
2010-11-30,15.72
2010-12-01,16.03
2010-12-02,16.28
2010-12-03,16.46
2010-12-06,16.63
2010-12-07,16.88
2010-12-08,16.86
2010-12-09,17.06
2010-12-10,17.2
2010-12-13,17.55
2010-12-14,17.58
2010-12-15,17.37
2010-12-16,17.47
2010-12-17,17.57
2010-12-20,17.65
2010-12-21,17.74
2010-12-22,17.82
2010-12-23,17.98
2010-12-27,17.92
2010-12-28,18.16
2010-12-29,18.26
2010-12-30,18.16
2010-12-31,18.13
2011-01-03,18.22
2011-01-04,18.12
2011-01-05,18.42
2011-01-06,18.42
2011-01-07,18.2
2011-01-10,18.46
2011-01-11,18.575
2011-01-12,18.48
2011-01-13,18.56
2011-01-14,18.55
2011-01-18,18.56
2011-01-19,18.19
2011-01-20,18.17
2011-01-21,19.25
2011-01-24,19.74
2011-01-25,19.8
2011-01-26,19.92
2011-01-27,19.9
2011-01-28,20.12
2011-01-31,20.1
2011-02-01,20.3
2011-02-02,20.65
2011-02-03,20.42
2011-02-04,20.4
2011-02-07,20.73
2011-02-08,20.91
2011-02-09,21.06
2011-02-10,20.94
2011-02-11,21.03
2011-02-14,21.45
2011-02-15,21.24
2011-02-16,21.250999999999998
2011-02-17,21.26
2011-02-18,21.3
2011-02-22,20.66
2011-02-23,20.08
2011-02-24,20.1
2011-02-25,20.5
2011-02-28,20.82
2011-03-01,20.24
2011-03-02,20.16
2011-03-03,20.7
2011-03-04,20.19
2011-03-07,20.01
2011-03-08,20.26
2011-03-09,20.3
2011-03-10,20.03
2011-03-11,19.94
2011-03-14,19.45
2011-03-15,18.6
2011-03-16,18.71
2011-03-17,19.06
2011-03-18,19.22
2011-03-21,19.55
2011-03-22,19.47
2011-03-23,19.25
2011-03-24,19.48
2011-03-25,19.69
2011-03-28,19.66
2011-03-29,19.53
2011-03-30,19.93
2011-03-31,19.96
2011-04-01,20.12
2011-04-04,20.44
2011-04-05,20.3
2011-04-06,20.37
2011-04-07,20.19
2011-04-08,20.07
2011-04-11,20.08
2011-04-12,19.8
2011-04-13,19.87
2011-04-14,19.6
2011-04-15,19.99
2011-04-18,19.51
2011-04-19,19.93
2011-04-20,20.28
2011-04-21,19.73
2011-04-25,19.89
2011-04-26,20.0
2011-04-27,20.15
2011-04-28,20.47
2011-04-29,20.4
2011-05-02,20.43
2011-05-03,20.35
2011-05-04,20.15
2011-05-05,19.81
2011-05-06,19.95
2011-05-09,19.9
2011-05-10,20.12
2011-05-11,20.0
2011-05-12,19.9
2011-05-13,19.76
2011-05-16,19.68
2011-05-17,19.46
2011-05-18,19.41
2011-05-19,19.84
2011-05-20,19.58
2011-05-23,19.13
2011-05-24,19.05
2011-05-25,18.97
2011-05-26,19.13
2011-05-27,19.42
2011-05-31,19.48
2011-06-01,19.1
2011-06-02,18.94
2011-06-03,18.75
2011-06-06,18.39
2011-06-07,18.47
2011-06-08,18.4
2011-06-09,18.49
2011-06-10,18.14
2011-06-13,18.22
2011-06-14,18.5
2011-06-15,18.32
2011-06-16,18.2
2011-06-17,18.335
2011-06-20,18.3
2011-06-21,18.56
2011-06-22,18.56
2011-06-23,18.01
2011-06-24,18.0
2011-06-27,18.0
2011-06-28,18.16
2011-06-29,18.4
2011-06-30,18.56
2011-07-01,18.75
2011-07-05,18.91
2011-07-06,18.96
2011-07-07,19.14
2011-07-08,18.85
2011-07-11,18.5
2011-07-12,18.38
2011-07-13,18.5
2011-07-14,18.47
2011-07-15,18.29
2011-07-18,18.16
2011-07-19,18.35
2011-07-20,18.6
2011-07-21,18.86
2011-07-22,18.95
2011-07-25,18.85
2011-07-26,18.5
2011-07-27,18.05
2011-07-28,18.09
2011-07-29,17.78
2011-08-01,17.68
2011-08-02,17.16
2011-08-03,17.06
2011-08-04,16.42
2011-08-05,16.1
2011-08-08,15.3
2011-08-09,14.82
2011-08-10,15.01
2011-08-11,15.0
2011-08-12,15.79
2011-08-15,16.08
2011-08-16,15.95
2011-08-17,16.08
2011-08-18,15.2
2011-08-19,15.03
2011-08-22,15.05
2011-08-23,15.11
2011-08-24,15.42
2011-08-25,15.34
2011-08-26,15.1
2011-08-29,15.75
2011-08-30,15.75
2011-08-31,16.16
2011-09-01,16.15
2011-09-02,15.55
2011-09-06,15.0
2011-09-07,15.44
2011-09-08,15.49
2011-09-09,15.03
2011-09-12,14.72
2011-09-13,14.86
2011-09-14,15.2
2011-09-15,15.84
2011-09-16,16.07
2011-09-19,15.87
2011-09-20,16.04
2011-09-21,15.36
