dt,close
2010-08-02,11.46
2010-08-03,11.43
2010-08-04,11.56
2010-08-05,11.56
2010-08-06,11.63
2010-08-09,11.73
2010-08-10,11.88
2010-08-11,11.3
2010-08-12,11.07
2010-08-13,10.99
2010-08-16,11.03
2010-08-17,11.08
2010-08-18,10.82
2010-08-19,10.3
2010-08-20,10.09
2010-08-23,10.31
2010-08-24,10.04
2010-08-25,10.14
2010-08-26,10.02
2010-08-27,10.1925
2010-08-30,9.9
2010-08-31,9.7
2010-09-01,9.94
2010-09-02,10.12
2010-09-03,10.54
2010-09-07,10.56
2010-09-08,10.44
2010-09-09,10.41
2010-09-10,10.62
2010-09-13,10.9
2010-09-14,11.11
2010-09-15,11.01
2010-09-16,11.21
2010-09-17,11.27
2010-09-20,11.56
2010-09-21,11.18
2010-09-22,10.94
2010-09-23,11.06
2010-09-24,11.36
2010-09-27,11.3
2010-09-28,11.45
2010-09-29,11.65
2010-09-30,11.53
2010-10-01,11.34
2010-10-04,11.08
2010-10-05,11.11
2010-10-06,11.15
2010-10-07,11.06
2010-10-08,11.47
2010-10-11,12.13
2010-10-12,12.05
2010-10-13,12.12
2010-10-14,12.15
2010-10-15,12.2
2010-10-18,12.38
2010-10-19,10.54
2010-10-20,10.2
2010-10-21,10.57
2010-10-22,10.81
2010-10-25,10.5
2010-10-26,10.35
2010-10-27,10.67
2010-10-28,10.85
2010-10-29,10.79
2010-11-01,10.73
2010-11-02,10.57
2010-11-03,10.67
2010-11-04,11.07
2010-11-05,10.73
2010-11-08,10.6
2010-11-09,10.49
2010-11-10,10.55
2010-11-11,10.35
2010-11-12,10.32
2010-11-15,10.19
2010-11-16,9.89
2010-11-17,9.88
2010-11-18,9.85
2010-11-19,9.63
2010-11-22,9.6
2010-11-23,9.23
2010-11-24,9.02
2010-11-26,8.78
2010-11-29,8.81
2010-11-30,9.04
2010-12-01,8.9
2010-12-02,8.67
2010-12-03,8.4
2010-12-06,8.35
2010-12-07,8.32
2010-12-08,8.68
2010-12-09,8.61
2010-12-10,8.69
2010-12-13,8.52
2010-12-14,8.56
2010-12-15,8.56
2010-12-16,8.74
2010-12-17,8.76
2010-12-20,8.72
2010-12-21,8.85
2010-12-22,9.26
2010-12-23,9.16
2010-12-27,9.25
2010-12-28,9.24
2010-12-29,9.41
2010-12-30,9.55
2010-12-31,9.64
2011-01-03,9.59
2011-01-04,8.99
2011-01-05,9.2
2011-01-06,9.2
2011-01-07,8.67
2011-01-10,8.58
2011-01-11,7.58
2011-01-12,7.7
2011-01-13,7.501
2011-01-14,7.38
2011-01-18,7.44
2011-01-19,7.28
2011-01-20,7.32
2011-01-21,7.32
2011-01-24,7.22
2011-01-25,7.26
2011-01-26,7.23
2011-01-27,7.52
2011-01-28,7.39
2011-01-31,7.28
2011-02-01,7.3
2011-02-02,7.255
2011-02-03,8.04
2011-02-04,7.86
2011-02-07,7.87
2011-02-08,7.95
2011-02-09,7.995
2011-02-10,8.16
2011-02-11,8.23
2011-02-14,8.14
2011-02-15,8.135
2011-02-16,8.56
2011-02-17,8.74
2011-02-18,8.77
2011-02-22,8.49
2011-02-23,8.35
2011-02-24,8.36
2011-02-25,8.54
2011-02-28,8.63
2011-03-01,8.17
2011-03-02,8.12
2011-03-03,8.07
2011-03-04,8.05
2011-03-07,7.82
2011-03-08,7.76
2011-03-09,7.83
2011-03-10,7.69
2011-03-11,7.57
2011-03-14,7.4
2011-03-15,7.86
2011-03-16,7.61
2011-03-17,7.78
2011-03-18,8.08
2011-03-21,8.35
2011-03-22,8.43
2011-03-23,8.54
2011-03-24,8.66
2011-03-25,8.83
2011-03-28,8.74
2011-03-29,9.03
2011-03-30,8.96
2011-03-31,8.92
2011-04-01,9.03
2011-04-04,8.65
2011-04-05,8.92
2011-04-06,8.94
2011-04-07,9.07
2011-04-08,9.41
2011-04-11,9.2
2011-04-12,9.1
2011-04-13,9.07
2011-04-14,10.6
2011-04-15,10.63
2011-04-18,10.69
2011-04-19,10.77
2011-04-20,11.02
2011-04-21,10.95
2011-04-25,10.96
2011-04-26,11.09
2011-04-27,11.19
2011-04-28,11.1
2011-04-29,11.25
2011-05-02,11.3704
2011-05-03,10.76
2011-05-04,10.44
2011-05-05,10.54
2011-05-06,10.5999
2011-05-09,10.5
2011-05-10,10.73
2011-05-11,10.73
2011-05-12,10.94
2011-05-13,10.87
2011-05-16,10.7
2011-05-17,10.67
2011-05-18,10.81
2011-05-19,11.02
2011-05-20,10.46
2011-05-23,10.15
2011-05-24,10.09
2011-05-25,10.09
2011-05-26,10.13
2011-05-27,10.22
2011-05-31,10.25
2011-06-01,9.6
2011-06-02,9.16
2011-06-03,9.03
2011-06-06,8.66
2011-06-07,9.0
2011-06-08,8.75
2011-06-09,8.68
2011-06-10,8.49
2011-06-13,8.52
2011-06-14,8.65
2011-06-15,8.49
2011-06-16,8.5
2011-06-17,8.64
2011-06-20,8.74
2011-06-21,9.11
2011-06-22,8.86
2011-06-23,8.78
2011-06-24,8.58
2011-06-27,8.62
2011-06-28,9.13
2011-06-29,9.47
2011-06-30,9.4
2011-07-01,9.57
2011-07-05,9.41
2011-07-06,9.28
2011-07-07,9.69
2011-07-08,9.49
2011-07-11,9.07
2011-07-12,9.08
2011-07-13,9.11
2011-07-14,8.82
2011-07-15,8.99
2011-07-18,8.92
2011-07-19,9.21
2011-07-20,9.24
2011-07-21,9.44
2011-07-22,8.76
2011-07-25,8.5
2011-07-26,9.12
2011-07-27,8.75
2011-07-28,8.78
2011-07-29,8.6
2011-08-01,8.35
2011-08-02,8.03
2011-08-03,8.23
2011-08-04,7.72
2011-08-05,7.66
2011-08-08,6.73
2011-08-09,7.14
2011-08-10,6.74
2011-08-11,7.32
2011-08-12,7.2
2011-08-15,7.52
2011-08-16,7.28
2011-08-17,7.42
2011-08-18,6.94
2011-08-19,6.79
2011-08-22,6.92
2011-08-23,6.94
2011-08-24,6.8
2011-08-25,6.57
2011-08-26,7.01
2011-08-29,7.6
2011-08-30,7.71
2011-08-31,7.97
2011-09-01,7.51
2011-09-02,7.6
2011-09-06,7.66
2011-09-07,7.82
2011-09-08,7.81
2011-09-09,7.4775
2011-09-12,7.51
2011-09-13,7.52
2011-09-14,7.49
2011-09-15,7.91
2011-09-16,7.69
2011-09-19,7.41
2011-09-20,7.26
2011-09-21,6.86
2011-09-22,6.55
2011-09-23,6.6189
2011-09-26,6.94
2011-09-27,6.97
2011-09-28,6.7
2011-09-29,6.96
2011-09-30,6.66
2011-10-03,6.39
2011-10-04,6.9
2011-10-05,7.08
2011-10-06,7.52
2011-10-07,7.28
2011-10-10,7.43
2011-10-11,7.51
2011-10-12,7.65
2011-10-13,8.08
2011-10-14,8.18
2011-10-17,8.09
2011-10-18,8.19
2011-10-19,7.72
2011-10-20,7.93
2011-10-21,8.0
2011-10-24,8.15
2011-10-25,8.07
2011-10-26,8.45
2011-10-27,8.72
2011-10-28,8.29
2011-10-31,8.02
2011-11-01,7.61
2011-11-02,7.85
2011-11-03,7.73
2011-11-04,7.71
2011-11-07,7.85
2011-11-08,8.02
2011-11-09,7.92
2011-11-10,8.03
2011-11-11,8.27
2011-11-14,8.21
2011-11-15,8.19
2011-11-16,8.1
2011-11-17,7.83
2011-11-18,8.1
2011-11-21,7.81
2011-11-22,7.53
2011-11-23,7.23
2011-11-25,7.04
2011-11-28,7.31
2011-11-29,7.29
2011-11-30,7.34
2011-12-01,7.28
2011-12-02,7.3
2011-12-05,7.38
2011-12-06,7.45
2011-12-07,7.5
2011-12-08,7.29
2011-12-09,7.48
2011-12-12,7.45
2011-12-13,7.29
2011-12-14,7.07
2011-12-15,7.21
2011-12-16,7.5
2011-12-19,7.59
2011-12-20,7.73
2011-12-21,7.98
2011-12-22,7.93
2011-12-23,8.08
2011-12-27,8.18
2011-12-28,8.07
2011-12-29,8.04
2011-12-30,8.12
2012-01-03,8.46
2012-01-04,8.42
2012-01-05,8.29
2012-01-06,8.23
2012-01-09,8.39
2012-01-10,8.39
2012-01-11,7.34
2012-01-12,7.31
2012-01-13,7.02
2012-01-17,6.9
2012-01-18,6.9
2012-01-19,7.16
2012-01-20,6.87
2012-01-23,7.04
2012-01-24,6.92
2012-01-25,7.0
2012-01-26,6.94
2012-01-27,7.0
2012-01-30,6.95
2012-01-31,6.9
2012-02-01,6.92
2012-02-02,6.98
2012-02-03,6.96
2012-02-06,6.92
2012-02-07,6.86
2012-02-08,6.8
2012-02-09,6.7
2012-02-10,6.75
2012-02-13,6.74
2012-02-14,6.79
2012-02-15,6.73
2012-02-16,6.82
2012-02-17,7.035
2012-02-21,6.93
2012-02-22,6.76
2012-02-23,6.63
2012-02-24,6.65
2012-02-27,6.61
2012-02-28,6.5601
2012-02-29,6.53
2012-03-01,6.56
2012-03-02,6.44
2012-03-05,6.09
2012-03-06,6.325
2012-03-07,6.33
2012-03-08,6.51
2012-03-09,6.43
2012-03-12,6.36
2012-03-13,6.32
2012-03-14,6.125
2012-03-15,6.3394
2012-03-16,6.34
2012-03-19,6.49
2012-03-20,6.27
2012-03-21,6.19
2012-03-22,6.11
2012-03-23,6.13
2012-03-26,6.08
2012-03-27,6.22
2012-03-28,5.94
2012-03-29,5.93
2012-03-30,5.72
2012-04-02,5.66
2012-04-03,5.3
2012-04-04,5.4
2012-04-05,5.14
2012-04-09,5.34
2012-04-10,6.12
2012-04-11,6.56
2012-04-12,6.55
2012-04-13,6.42
2012-04-16,6.51
2012-04-17,6.42
2012-04-18,6.23
2012-04-19,6.18
2012-04-20,6.09
2012-04-23,6.14
2012-04-24,6.16
2012-04-25,6.15
2012-04-26,6.19
2012-04-27,6.15
2012-04-30,5.95
2012-05-01,5.78
2012-05-02,5.66
2012-05-03,5.56
2012-05-04,5.53
2012-05-07,5.51
2012-05-08,5.43
2012-05-09,5.31
2012-05-10,5.32
2012-05-11,5.21
2012-05-14,5.35
2012-05-15,5.12
2012-05-16,5.12
2012-05-17,4.95
2012-05-18,4.65
2012-05-21,4.85
2012-05-22,4.72
2012-05-23,4.61
2012-05-24,4.65
2012-05-25,4.77
2012-05-29,4.82
2012-05-30,4.58
2012-05-31,4.52
2012-06-01,4.29
2012-06-04,4.39
2012-06-05,4.5271
2012-06-06,4.5
2012-06-07,4.37
2012-06-08,4.29
2012-06-11,4.07
2012-06-12,4.19
2012-06-13,4.27
2012-06-14,4.61
2012-06-15,4.52
2012-06-18,4.5
2012-06-19,4.58
2012-06-20,4.7
2012-06-21,4.61
2012-06-22,4.85
2012-06-25,5.14
2012-06-26,5.06
2012-06-27,5.11
2012-06-28,5.26
2012-06-29,5.19
2012-07-02,5.24
2012-07-03,5.17
2012-07-05,5.04
2012-07-06,5.09
2012-07-09,5.01
2012-07-10,5.145
2012-07-11,5.3
2012-07-12,2.7
2012-07-13,2.33
2012-07-16,2.48
2012-07-17,2.27
2012-07-18,2.35
2012-07-19,2.34
2012-07-20,2.25
2012-07-23,2.21
2012-07-24,2.0549
2012-07-25,1.73
2012-07-26,1.94
2012-07-27,2.0
2012-07-30,2.23
2012-07-31,2.47
2012-08-01,2.54
2012-08-02,2.46
2012-08-03,2.57
2012-08-06,2.34
2012-08-07,2.31
2012-08-08,2.31
2012-08-09,2.35
2012-08-10,2.44
2012-08-13,2.39
2012-08-14,2.38
2012-08-15,2.35
2012-08-16,2.42
2012-08-17,2.325
2012-08-20,2.29
2012-08-21,2.25
2012-08-22,2.15
2012-08-23,2.11
2012-08-24,2.34
2012-08-27,2.35
2012-08-28,2.41
2012-08-29,2.38
2012-08-30,2.33
2012-08-31,2.38
2012-09-04,2.23
2012-09-05,2.28
2012-09-06,2.37
2012-09-07,2.39
2012-09-10,2.45
2012-09-11,2.41
2012-09-12,2.34
2012-09-13,2.37
2012-09-14,2.4
2012-09-17,2.36
2012-09-18,2.43
2012-09-19,2.41
2012-09-20,2.37
2012-09-21,2.4
2012-09-24,2.41
2012-09-25,2.39
2012-09-26,2.41
2012-09-27,2.4
2012-09-28,2.4
2012-10-01,2.34
2012-10-02,2.28
2012-10-03,2.27
2012-10-04,2.285
2012-10-05,2.22
2012-10-08,2.19
2012-10-09,1.94
2012-10-10,1.92
2012-10-11,1.9
2012-10-12,1.85
2012-10-15,1.84
2012-10-16,1.9
2012-10-17,2.06
2012-10-18,2.12
2012-10-19,2.18
2012-10-22,3.15
2012-10-23,2.89
2012-10-24,2.92
2012-10-25,3.03
2012-10-26,3.01
2012-10-31,3.1
2012-11-01,3.25
2012-11-02,3.19
2012-11-05,3.11
2012-11-06,3.11
2012-11-07,3.03
2012-11-08,2.87
2012-11-09,2.9
2012-11-12,2.76
2012-11-13,2.75
2012-11-14,2.63
2012-11-15,2.55
2012-11-16,2.51
2012-11-19,2.58
2012-11-20,2.53
2012-11-21,2.67
2012-11-23,2.69
2012-11-26,2.62
2012-11-27,2.71
2012-11-28,2.8
2012-11-29,2.2716
2012-11-30,2.38
2012-12-03,2.68
2012-12-04,2.56
2012-12-05,2.9
2012-12-06,2.77
2012-12-07,2.66
2012-12-10,2.64
2012-12-11,2.67
2012-12-12,2.62
2012-12-13,2.69
2012-12-14,2.67
2012-12-17,2.71
2012-12-18,2.69
2012-12-19,2.7
2012-12-20,2.63
2012-12-21,2.63
2012-12-24,2.62
2012-12-26,2.58
2012-12-27,2.47
2012-12-28,2.39
2012-12-31,2.46
2013-01-02,2.5
2013-01-03,2.58
2013-01-04,2.93
2013-01-07,2.85
2013-01-08,2.77
2013-01-09,3.05
2013-01-10,3.47
2013-01-11,3.51
2013-01-14,3.5201
2013-01-15,3.54
2013-01-16,3.5
2013-01-17,3.55
2013-01-18,3.57
2013-01-22,3.53
2013-01-23,3.54
2013-01-24,3.53
2013-01-25,3.56
2013-01-28,3.68
2013-01-29,3.91
2013-01-30,3.9
2013-01-31,3.92
2013-02-01,3.92
2013-02-04,3.87
2013-02-05,3.89
2013-02-06,3.85
2013-02-07,3.85
2013-02-08,3.85
2013-02-11,3.89
2013-02-12,3.92
2013-02-13,3.9
2013-02-14,3.85
2013-02-15,3.85
2013-02-19,3.86
2013-02-20,3.84
2013-02-21,3.89
2013-02-22,3.85
2013-02-25,3.76
2013-02-26,3.89
2013-02-27,3.94
2013-02-28,3.99
2013-03-01,3.96
2013-03-04,4.09
2013-03-05,4.05
2013-03-06,4.005
2013-03-07,4.05
2013-03-08,4.11
2013-03-11,4.16
2013-03-12,4.16
2013-03-13,4.38
2013-03-14,4.42
2013-03-15,4.45
2013-03-18,4.38
2013-03-19,4.22
2013-03-20,4.19
2013-03-21,4.7
2013-03-22,4.96
2013-03-25,5.07
2013-03-26,5.13
2013-03-27,5.07
2013-03-28,5.02
2013-04-01,4.86
2013-04-02,4.81
2013-04-03,4.68
2013-04-04,4.71
2013-04-05,4.79
2013-04-08,4.96
2013-04-09,5.11
2013-04-10,5.21
2013-04-11,5.33
2013-04-12,5.27
2013-04-15,5.1
2013-04-16,5.2
2013-04-17,5.06
2013-04-18,5.06
2013-04-19,4.98
2013-04-22,5.3
2013-04-23,5.35
2013-04-24,6.0
2013-04-25,5.99
2013-04-26,6.03
2013-04-29,5.98
2013-04-30,5.85
2013-05-01,5.87
2013-05-02,6.15
2013-05-03,6.32
2013-05-06,6.46
2013-05-07,6.5
2013-05-08,6.43
2013-05-09,6.14
2013-05-10,6.43
2013-05-13,6.69
2013-05-14,6.83
2013-05-15,7.03
2013-05-16,6.7
2013-05-17,6.96
2013-05-20,6.81
2013-05-21,6.8
2013-05-22,6.47
2013-05-23,6.47
2013-05-24,6.45
2013-05-28,6.77
2013-05-29,6.62
2013-05-30,6.66
2013-05-31,6.4575
2013-06-03,6.53
2013-06-04,6.36
2013-06-05,6.27
2013-06-06,6.27
2013-06-07,6.32
2013-06-10,6.6
2013-06-11,6.43
2013-06-12,6.185
2013-06-13,6.41
2013-06-14,6.28
2013-06-17,6.23
2013-06-18,6.5
2013-06-19,6.32
2013-06-20,6.03
2013-06-21,5.99
2013-06-24,5.83
2013-06-25,6.03
2013-06-26,6.26
2013-06-27,6.2
2013-06-28,6.22
2013-07-01,6.44
2013-07-02,6.76
2013-07-03,6.67
2013-07-05,6.82
2013-07-08,6.89
2013-07-09,6.8
2013-07-10,6.85
2013-07-11,6.98
2013-07-12,6.9
2013-07-15,6.88
2013-07-16,6.83
2013-07-17,6.75
2013-07-18,7.91
2013-07-19,7.38
2013-07-22,7.62
2013-07-23,7.73
2013-07-24,7.91
2013-07-25,8.07
2013-07-26,8.03
2013-07-29,8.08
2013-07-30,8.09
2013-07-31,8.0
2013-08-01,8.09
2013-08-02,8.13
2013-08-05,8.09
2013-08-06,7.95
2013-08-07,7.77
2013-08-08,7.92
2013-08-09,7.87
2013-08-12,7.82
2013-08-13,7.7
2013-08-14,7.77
2013-08-15,7.31
2013-08-16,7.45
2013-08-19,7.21
2013-08-20,7.43
2013-08-21,7.21
2013-08-22,7.4
2013-08-23,7.28
2013-08-26,7.26
2013-08-27,7.11
2013-08-28,7.02
2013-08-29,7.28
2013-08-30,7.18
2013-09-03,7.1
2013-09-04,7.26
2013-09-05,7.41
2013-09-06,7.33
2013-09-09,7.49
2013-09-10,7.6
2013-09-11,7.41
2013-09-12,7.54
2013-09-13,7.47
2013-09-16,7.38
2013-09-17,7.69
2013-09-18,7.81
2013-09-19,7.92
2013-09-20,8.03
2013-09-23,8.04
2013-09-24,8.12
2013-09-25,8.32
2013-09-26,8.35
2013-09-27,8.25
2013-09-30,8.24
2013-10-01,8.22
2013-10-02,8.21
2013-10-03,7.97
2013-10-04,8.0
2013-10-07,7.9
2013-10-08,7.7
2013-10-09,7.77
2013-10-10,8.0
2013-10-11,8.2
2013-10-14,8.33
2013-10-15,8.28
2013-10-16,8.39
2013-10-17,8.06
2013-10-18,7.38
2013-10-21,7.32
2013-10-22,7.18
2013-10-23,7.51
2013-10-24,7.45
2013-10-25,7.4328
2013-10-28,7.27
2013-10-29,7.37
2013-10-30,7.08
2013-10-31,7.02
2013-11-01,6.95
2013-11-04,7.04
2013-11-05,7.19
2013-11-06,6.87
2013-11-07,6.63
2013-11-08,6.68
2013-11-11,6.66
2013-11-12,6.8
2013-11-13,7.09
2013-11-14,6.98
2013-11-15,6.88
2013-11-18,6.28
2013-11-19,6.23
2013-11-20,6.19
2013-11-21,6.26
2013-11-22,6.72
2013-11-25,6.33
2013-11-26,6.46
2013-11-27,6.46
2013-11-29,6.45
2013-12-02,6.5
2013-12-03,6.45
2013-12-04,6.47
2013-12-05,6.33
2013-12-06,6.37
2013-12-09,6.31
2013-12-10,6.22
2013-12-11,6.21
2013-12-12,6.32
2013-12-13,6.41
2013-12-16,6.59
2013-12-17,6.68
2013-12-18,6.79
2013-12-19,6.86
2013-12-20,7.03
2013-12-23,6.91
2013-12-24,7.03
2013-12-26,7.04
2013-12-27,6.92
2013-12-30,7.01
2013-12-31,7.29
2014-01-02,7.28
2014-01-03,7.13
2014-01-06,6.92
2014-01-07,7.03
2014-01-08,7.04
2014-01-09,6.84
2014-01-10,6.4
2014-01-13,6.17
2014-01-14,6.41
2014-01-15,6.34
2014-01-16,6.22
2014-01-17,6.21
2014-01-21,6.26
2014-01-22,6.15
2014-01-23,6.24
2014-01-24,6.08
2014-01-27,6.08
2014-01-28,6.11
2014-01-29,6.03
2014-01-30,5.94
2014-01-31,5.79
2014-02-03,5.63
2014-02-04,5.54
2014-02-05,5.51
2014-02-06,5.65
2014-02-07,5.8
2014-02-10,5.78
2014-02-11,5.89
2014-02-12,5.81
2014-02-13,5.88
2014-02-14,5.91
2014-02-18,5.99
2014-02-19,6.04
2014-02-20,6.16
2014-02-21,6.09
2014-02-24,6.11
2014-02-25,6.21
2014-02-26,6.39
2014-02-27,6.43
2014-02-28,6.46
2014-03-03,6.6
2014-03-04,6.93
2014-03-05,6.86
2014-03-06,6.75
2014-03-07,6.62
2014-03-10,6.67
2014-03-11,6.57
2014-03-12,6.69
2014-03-13,6.53
2014-03-14,6.57
2014-03-17,6.74
2014-03-18,6.81
2014-03-19,6.69
2014-03-20,6.73
2014-03-21,6.76
2014-03-24,6.7
2014-03-25,6.64
2014-03-26,6.57
2014-03-27,6.63
2014-03-28,6.76
2014-03-31,6.83
2014-04-01,6.82
2014-04-02,6.96
2014-04-03,7.02
2014-04-04,7.1
2014-04-07,6.9
2014-04-08,6.87
2014-04-09,6.83
2014-04-10,6.69
2014-04-11,6.72
2014-04-14,6.72
2014-04-15,6.76
2014-04-16,6.865
2014-04-17,6.93
2014-04-21,6.805
2014-04-22,6.76
2014-04-23,7.56
2014-04-24,7.03
2014-04-25,7.11
2014-04-28,7.19
2014-04-29,7.19
2014-04-30,6.99
2014-05-01,6.9
2014-05-02,7.13
2014-05-05,6.97
2014-05-06,7.0
2014-05-07,7.06
2014-05-08,7.17
2014-05-09,7.1
2014-05-12,7.32
2014-05-13,7.25
2014-05-14,7.26
2014-05-15,7.28
2014-05-16,7.5
2014-05-19,7.43
2014-05-20,7.2
2014-05-21,7.35
2014-05-22,7.45
2014-05-23,7.5
2014-05-27,7.61
2014-05-28,7.45
2014-05-29,7.49
2014-05-30,7.47
2014-06-02,7.23
2014-06-03,7.54
2014-06-04,7.75
2014-06-05,7.93
2014-06-06,8.065
2014-06-09,8.05
2014-06-10,8.095
2014-06-11,7.99
2014-06-12,7.8
2014-06-13,7.77
2014-06-16,7.71
2014-06-17,7.89
2014-06-18,7.99
2014-06-19,7.94
2014-06-20,7.97
2014-06-23,7.91
2014-06-24,7.82
2014-06-25,7.67
2014-06-26,7.92
2014-06-27,8.075
2014-06-30,8.21
2014-07-01,8.225
2014-07-02,8.145
2014-07-03,8.2401
2014-07-07,8.185
2014-07-08,8.24
2014-07-09,8.33
2014-07-10,8.125
2014-07-11,8.15
2014-07-14,8.33
2014-07-15,8.25
2014-07-16,8.84
2014-07-17,8.52
2014-07-18,8.78
2014-07-21,8.92
2014-07-22,8.89
2014-07-23,8.88
2014-07-24,9.11
2014-07-25,9.34
2014-07-28,9.41
2014-07-29,9.54
2014-07-30,9.46
2014-07-31,9.16
2014-08-01,9.07
2014-08-04,9.48
2014-08-05,9.38
2014-08-06,9.335
2014-08-07,9.26
2014-08-08,9.35
2014-08-11,9.42
2014-08-12,9.38
2014-08-13,9.53
2014-08-14,9.59
2014-08-15,9.3
2014-08-18,9.5
2014-08-19,9.7
2014-08-20,9.67
2014-08-21,9.56
2014-08-22,9.44
2014-08-25,9.32
2014-08-26,9.62
2014-08-27,9.63
2014-08-28,9.64
2014-08-29,9.55
2014-09-02,9.5
2014-09-03,9.56
2014-09-04,9.46
2014-09-05,9.55
2014-09-08,9.68
2014-09-09,9.49
2014-09-10,9.69
2014-09-11,9.67
2014-09-12,9.41
2014-09-15,9.43
2014-09-16,9.57
2014-09-17,9.64
2014-09-18,9.671
2014-09-19,9.47
2014-09-22,9.19
2014-09-23,9.18
2014-09-24,9.22
2014-09-25,9.02
2014-09-26,9.3
2014-09-29,9.14
2014-09-30,8.95
2014-10-01,8.64
2014-10-02,8.82
2014-10-03,8.94
2014-10-06,8.89
2014-10-07,8.79
2014-10-08,8.98
2014-10-09,8.74
2014-10-10,8.67
2014-10-13,8.46
2014-10-14,8.605
2014-10-15,8.55
2014-10-16,8.155
2014-10-17,8.06
2014-10-20,8.215
2014-10-21,8.34
2014-10-22,8.07
2014-10-23,8.11
2014-10-24,8.08
2014-10-27,8.05
2014-10-28,8.43
2014-10-29,8.52
2014-10-30,8.59
2014-10-31,8.64
2014-11-03,8.54
2014-11-04,8.42
2014-11-05,8.44
2014-11-06,8.535
2014-11-07,8.63
2014-11-10,8.7
2014-11-11,8.67
2014-11-12,8.89
2014-11-13,8.94
2014-11-14,9.0
2014-11-17,9.01
2014-11-18,9.12
2014-11-19,9.13
2014-11-20,9.245
2014-11-21,9.17
2014-11-24,9.4
2014-11-25,9.35
2014-11-26,9.37
2014-11-28,9.36
2014-12-01,9.1
2014-12-02,9.25
2014-12-03,9.34
2014-12-04,9.26
2014-12-05,9.345
2014-12-08,9.19
2014-12-09,9.21
2014-12-10,8.86
2014-12-11,8.905
2014-12-12,9.03
2014-12-15,8.86
2014-12-16,8.86
2014-12-17,9.32
2014-12-18,9.5
2014-12-19,9.44
2014-12-22,9.5
2014-12-23,9.71
2014-12-24,9.71
2014-12-26,9.75
2014-12-29,9.86
2014-12-30,9.78
2014-12-31,9.71
2015-01-02,9.65
2015-01-05,9.36
2015-01-06,9.19
2015-01-07,9.2
2015-01-08,9.29
2015-01-09,9.44
2015-01-12,9.5
2015-01-13,9.25
2015-01-14,9.09
2015-01-15,9.44
2015-01-16,9.685
2015-01-20,9.6403
